gene,description,colors
107301485,chromosome unknown open reading frame human C1orf116,tan
107301486,glutamine-dependent NAD(+) synthetase-like,turquoise
107301487,family with sequence similarity 53 member B,green
107301488,uncharacterized LOC107301488,royalblue
107301490,uncharacterized LOC107301490,brown
107301491,RUN and FYVE domain-containing protein 2-like,turquoise
107301492,cathepsin L1-like,steelblue
107301493,inositol monophosphatase 1-like,black
107301494,GON-4-like protein,red
107301495,solute carrier family 13 member 3-like,turquoise
107301496,probable inactive glycosyltransferase 25 family member 3,black
107301497,lipoyl synthase mitochondrial-like,brown
107301498,methyltransferase like 10,brown
107301499,probable ATP-dependent RNA helicase DDX52,black
107301500,uncharacterized LOC107301500,pink
107301502,synaptosomal-associated protein 29-like,yellow
107301503,centrosomal protein of 70 kDa-like,black
107301504,uncharacterized LOC107301504,brown
107301505,coiled-coil domain-containing protein 124-like,turquoise
107301508,16 kDa beta-galactoside-binding lectin-like,turquoise
107301509,negative elongation factor B-like,yellow
107301510,uncharacterized LOC107301510,blue
107301511,DNA repair protein complementing XP-G cells-like,turquoise
107301512,zinc transporter 5-like,turquoise
107301513,McKusick-Kaufman/Bardet-Biedl syndromes putative chaperonin-like,blue
107301514,uncharacterized LOC107301514,purple
107301515,putative methyltransferase NSUN7,green
107301516,E3 ubiquitin-protein ligase TRIM50-like,cyan
107301517,max dimerization protein 3-like,pink
107301518,autophagy-related protein 13-like,turquoise
107301520,putative uncharacterized protein DDB_G0271982,purple
107301521,acylphosphatase-1-like,turquoise
107301522,nicotinamide/nicotinic acid mononucleotide adenylyltransferase 1-like,green
107301523,cytochrome c oxidase assembly factor 5,brown
107301525,uncharacterized LOC107301525,darkgrey
107301526,zinc finger protein 665-like,blue
107301527,arrestin domain-containing protein 1-like,black
107301529,phosphatidylinositol 4-kinase alpha-like,yellow
107301530,gamma-secretase-activating protein-like,turquoise
107301532,ELMO domain-containing protein 3-like,magenta
107301533,lipopolysaccharide-binding protein-like,blue
107301534,uncharacterized LOC107301534,turquoise
107301535,kelch-like protein 32,turquoise
107301536,uncharacterized LOC107301536,red
107301537,uncharacterized LOC107301537,turquoise
107301538,cathepsin L1-like,darkred
107301539,HLA class II histocompatibility antigen DRB1-4 beta chain-like,turquoise
107301540,coiled-coil domain-containing protein 66-like,turquoise
107301541,zinc finger and SCAN domain-containing protein 2-like,magenta
107301542,family with sequence similarity 175 member B,darkred
107301543,alpha-1-antitrypsin-like,blue
107301544,zinc finger protein 2 homolog,magenta
107301545,zinc finger protein 76-like,blue
107301546,zinc finger protein 2-like,red
107301547,zinc finger protein 595-like,blue
107301549,uncharacterized LOC107301549,blue
107301550,zinc finger protein 502-like,green
107301553,pyruvate kinase PKLR-like,blue
107301554,HLA class II histocompatibility antigen DRB1-15 beta chain-like,orange
107301555,GTPase IMAP family member 4-like,royalblue
107301556,beta-14-galactosyltransferase 3-like,turquoise
107301557,UPF0600 protein C5orf51-like,orange
107301558,ATPase ASNA1-like,turquoise
107301559,HLA class II histocompatibility antigen DRB1-16 beta chain-like,turquoise
107301560,leukocyte cysteine proteinase inhibitor 1-like,darkred
107301561,CUGBP Elav-like family member 1,yellow
107301562,extracellular matrix protein 1-like,blue
107301563,mas-related G-protein coupled receptor member A8-like,greenyellow
107301564,zinc finger MYND domain-containing protein 10-like,green
107301565,RAD18 E3 ubiquitin protein ligase,green
107301567,guanylate-binding protein 1-like,darkgreen
107301568,olfactory receptor 1038-like,blue
107301569,solute carrier organic anion transporter family member 2A1-like,blue
107301570,protein delta homolog 1-like,blue
107301571,fructose-bisphosphate aldolase B-like,yellow
107301573,HLA class II histocompatibility antigen DRB1-16 beta chain-like,cyan
107301574,fatty acid synthase-like,yellow
107301576,CAP adenylate cyclase-associated protein 1 (yeast),yellow
107301577,TNFAIP3-interacting protein 1-like,lightcyan
107301578,nuclear receptor corepressor 2-like,red
107301579,vomeronasal type-2 receptor 26-like,blue
107301580,putative ferric-chelate reductase 1,turquoise
107301581,zinc finger protein OZF-like,magenta
107301582,general transcription factor II-I-like,greenyellow
107301583,uncharacterized LOC107301583,tan
107301584,myomegalin-like,turquoise
107301585,uncharacterized LOC107301585,turquoise
107301586,dynein heavy chain 12 axonemal-like,green
107301587,palmitoyl-protein thioesterase 1,yellow
107301588,phospholipid-transporting ATPase IA-like,turquoise
107301589,IQ and ubiquitin-like domain-containing protein,green
107301591,ribonuclease H2 subunit C-like,magenta
107301592,beta-sarcoglycan-like,brown
107301593,ubiquitin carboxyl-terminal hydrolase 21-like,yellow
107301594,nuclear valosin-containing protein-like,turquoise
107301596,prelamin-A/C-like,brown
107301597,cytoplasmic dynein 1 heavy chain 1-like,turquoise
107301598,major facilitator superfamily domain containing 2A,turquoise
107301599,ras-related protein Rab-10-like,darkgreen
107301600,calnexin-like,turquoise
107301601,probable tubulin polyglutamylase TTLL2,green
107301602,protein Hook homolog 2-like,magenta
107301603,pyruvate dehydrogenase protein X component mitochondrial-like,turquoise
107301604,zinc finger and SCAN domain-containing protein 2-like,blue
107301605,putative sodium-coupled neutral amino acid transporter 8,turquoise
107301607,uncharacterized LOC107301607,turquoise
107301608,60S ribosomal protein L27a-like,brown
107301609,zinc finger protein 329-like,blue
107301610,collagen triple helix repeat containing 1,midnightblue
107301611,mitochondrial folate transporter/carrier-like,purple
107301612,telomere length regulation protein TEL2 homolog,yellow
107301613,telomere-associated protein RIF1-like,red
107301614,serine/threonine-protein kinase VRK2-like,blue
107301615,retinoblastoma-like protein 1,blue
107301616,protein Daple-like,green
107301617,H-2 class II histocompatibility antigen E-B beta chain-like,blue
107301618,coiled-coil domain-containing protein 39-like,cyan
107301620,perilipin-3-like,pink
107301621,dynein light chain Tctex-type 3-like,blue
107301622,kynurenine--oxoglutarate transaminase 1-like,royalblue
107301624,hydroxysteroid 11-beta-dehydrogenase 1-like protein B,brown
107301625,mediator of RNA polymerase II transcription subunit 12-like protein,turquoise
107301626,uncharacterized LOC107301626,turquoise
107301627,unc-50 homolog (C. elegans),black
107301628,myeloid-associated differentiation marker-like protein 2,red
107301630,citrate synthase mitochondrial-like,yellow
107301631,suppression of tumorigenicity 5,blue
107301632,ADP/ATP translocase 2,grey60
107301633,legumain-like,darkred
107301634,glutamate--cysteine ligase catalytic subunit-like,turquoise
107301635,histone H1.4-like,pink
107301637,histone H4,green
107301638,zinc finger protein 106-like,brown
107301639,sorting nexin-6-like,purple
107301640,ankyrin repeat domain-containing protein 40-like,green
107301641,helicase ARIP4-like,brown
107301642,protein FRG1-like,purple
107301643,rano class II histocompatibility antigen A beta chain-like,white
107301644,receptor-type tyrosine-protein phosphatase C-like,royalblue
107301645,ribosome biogenesis protein NSA2 homolog,black
107301646,uncharacterized LOC107301646,green
107301647,caM kinase-like vesicle-associated protein,tan
107301648,TNF receptor-associated factor 6-like,pink
107301649,zinc finger protein 420-like,blue
107301650,unconventional myosin-VI-like,brown
107301651,uncharacterized LOC107301651,brown
107301652,interferon-induced helicase C domain-containing protein 1-like,green
107301654,protein FRG1-like,purple
107301655,sister chromatid cohesion protein PDS5 homolog A-like,blue
107301657,carbonic anhydrase 2-like,brown
107301658,protein sel-1 homolog 3-like,brown
107301659,uncharacterized LOC107301659,turquoise
107301660,coiled-coil domain-containing protein 146-like,green
107301661,folylpolyglutamate synthase mitochondrial-like,turquoise
107301662,complement C4-like,royalblue
107301663,mitogen-activated protein kinase kinase kinase 7,blue
107301664,SUMO-specific isopeptidase USPL1-like,magenta
107301666,nucleoside diphosphate-linked moiety X motif 8-like,pink
107301667,adenylate kinase 1,red
107301668,uncharacterized LOC107301668,brown
107301669,protein PAT1 homolog 1-like,blue
107301670,probable tRNA pseudouridine synthase 2,brown
107301671,DNA repair protein SWI5 homolog,turquoise
107301672,kinesin-like protein KIF27,pink
107301673,acyl-coenzyme A thioesterase 11-like,yellow
107301674,uncharacterized LOC107301674,turquoise
107301675,intraflagellar transport protein 172 homolog,blue
107301676,canalicular multispecific organic anion transporter 2-like,magenta
107301677,N-acylsphingosine amidohydrolase (acid ceramidase) 1,black
107301678,ectonucleoside triphosphate diphosphohydrolase 5-like,turquoise
107301679,uncharacterized LOC107301679,turquoise
107301680,tau-tubulin kinase 2-like,green
107301681,tyrosine-protein phosphatase non-receptor type 14-like,black
107301682,dystonin-like,blue
107301683,GTPase-activating protein and VPS9 domain-containing protein 1-like,darkgrey
107301684,class I histocompatibility antigen Gogo-OKO alpha chain-like,magenta
107301685,carnitine O-acetyltransferase-like,yellow
107301686,zinc finger protein 501-like,magenta
107301687,glycogen phosphorylase muscle form-like,red
107301688,pericentriolar material 1,green
107301689,myosin heavy chain cardiac muscle isoform-like,turquoise
107301691,guanine nucleotide exchange factor VAV3-like,turquoise
107301692,ubiquinol-cytochrome-c reductase complex assembly factor 2-like,brown
107301693,ankyrin repeat domain-containing protein 49-like,brown
107301694,semaphorin-7A-like,blue
107301696,HLA class II histocompatibility antigen DRB1-4 beta chain-like,royalblue
107301697,7-dehydrocholesterol reductase-like,brown
107301699,fibrinogen like 1,green
107301701,protein RTF2 homolog,midnightblue
107301703,inositol polyphosphate 5-phosphatase OCRL-1-like,yellow
107301705,polypeptide N-acetylgalactosaminyltransferase 9-like,blue
107301707,interferon-inducible GTPase 5-like,darkgreen
107301708,DDB1- and CUL4-associated factor 13-like,salmon
107301709,microtubule associated tumor suppressor 1,turquoise
107301711,trichohyalin-like,black
107301712,mitochondrial amidoxime reducing component 2-like,blue
107301713,interferon-inducible GTPase 5-like,darkgreen
107301714,negative elongation factor B-like,green
107301715,ATP-binding cassette sub-family A member 3-like,darkgrey
107301717,uncharacterized LOC107301717,yellow
107301718,uncharacterized LOC107301718,pink
107301719,myoblast determination protein 1 homolog,red
107301720,hydroxysteroid 11-beta-dehydrogenase 1-like protein A,turquoise
107301722,mitochondrial enolase superfamily member 1-like,brown
107301724,C-X-C chemokine receptor type 4-like,green
107301725,dual specificity protein phosphatase 15-like,turquoise
107301727,adaptin ear-binding coat-associated protein 1-like,turquoise
107301728,CD9 antigen-like,pink
107301729,dehydrogenase/reductase SDR family member 13-like,blue
107301731,rho guanine nucleotide exchange factor 38-like,turquoise
107301733,platelet derived growth factor receptor like,black
107301734,G-protein-signaling modulator 2-like,brown
107301736,thrombospondin-3-like,blue
107301737,NIF3-like protein 1,turquoise
107301740,60S ribosomal protein L10a,cyan
107301741,interferon-inducible GTPase 5-like,darkgreen
107301742,coronin-1C-like,pink
107301743,phosphatidylserine decarboxylase proenzyme mitochondrial-like,turquoise
107301744,solute carrier family 7 (cationic amino acid transporter y+ system) member 2,yellow
107301745,uracil-DNA glycosylase-like,blue
107301746,formin-binding protein 4-like,turquoise
107301748,calsyntenin-1-like,brown
107301749,uncharacterized LOC107301749,blue
107301750,WD repeat-containing protein 61-like,brown
107301751,MLX-interacting protein-like,green
107301752,GA-binding protein subunit beta-1-like,darkgrey
107301753,MAP kinase-activated protein kinase 3-like,blue
107301754,olfactory receptor 2B2-like,green
107301755,uncharacterized LOC107301755,brown
107301757,zinc finger protein 3-like,blue
107301758,uncharacterized LOC107301758,midnightblue
107301759,ATPase family AAA domain-containing protein 2-like,yellow
107301760,cytoplasmic aconitate hydratase-like,midnightblue
107301762,inositol hexakisphosphate kinase 3-like,darkred
107301763,RING finger and SPRY domain-containing protein 1-like,blue
107301764,HLA class II histocompatibility antigen DRB1-4 beta chain-like,black
107301765,uncharacterized LOC107301765,turquoise
107301766,regulator of G-protein signaling 14-like,blue
107301767,putative pre-mRNA-splicing factor ATP-dependent RNA helicase DHX16,black
107301768,protein sel-1 homolog 1-like,turquoise
107301769,vacuolar protein sorting 37 homolog A (S. cerevisiae),brown
107301770,phospholipid transfer protein-like,black
107301771,uncharacterized LOC107301771,darkgrey
107301772,GTPase IMAP family member 1-like,blue
107301773,3 beta-hydroxysteroid dehydrogenase type 7-like,blue
107301775,delta(35)-Delta(24)-dienoyl-CoA isomerase mitochondrial-like,yellow
107301776,uncharacterized LOC107301776,turquoise
107301777,calcium-binding and coiled-coil domain-containing protein 1-like,blue
107301778,histone acetyltransferase p300-like,greenyellow
107301779,protein FAM98B-like,orange
107301780,CCR4-NOT transcription complex subunit 7,turquoise
107301781,bifunctional glutamate/proline--tRNA ligase-like,cyan
107301782,ubiquitin carboxyl-terminal hydrolase 19-like,yellow
107301783,uncharacterized LOC107301783,pink
107301784,solute carrier family 2 facilitated glucose transporter member 6-like,blue
107301786,kinesin light chain 1-like,green
107301787,forkhead box protein I1-ema-like,turquoise
107301788,fibroleukin-like,black
107301789,ral GTPase-activating protein subunit beta-like,brown
107301790,alpha-N-acetyl-neuraminyl-23-beta-galactosyl-13-N-acetyl-galactosaminide alpha-26-sialyltransferase-like,pink
107301791,glucosylceramidase-like,yellow
107301792,mitochondrial calcium uptake family member 3,turquoise
107301793,GTPase IMAP family member 2-like,darkgreen
107301794,equilibrative nucleoside transporter 3-like,yellow
107301795,deoxyhypusine synthase-like,pink
107301797,zinc finger protein 501-like,magenta
107301799,HLA class II histocompatibility antigen DRB1-15 beta chain-like,royalblue
107301800,uncharacterized LOC107301800,turquoise
107301801,uncharacterized LOC107301801,blue
107301803,myotubularin related protein 7,green
107301804,sulfide:quinone oxidoreductase mitochondrial-like,black
107301805,myeloma overexpressed 2,green
107301806,S-arrestin-like,turquoise
107301807,uncharacterized LOC107301807,turquoise
107301808,putative inactive cytochrome P450 2G1,blue
107301810,nuclear receptor coactivator 1-like,yellow
107301812,acetyl-CoA acetyltransferase mitochondrial-like,darkgrey
107301813,uncharacterized LOC107301813,darkgrey
107301814,uncharacterized LOC107301814,black
107301815,zinc finger DHHC-type containing 2,blue
107301816,sodium/potassium-transporting ATPase subunit alpha-2-like,red
107301817,transmembrane protein 171-like,blue
107301818,ADP-ribosylation factor-like protein 2,turquoise
107301819,beta-adrenergic receptor kinase 1-like,turquoise
107301821,SPARC-related modular calcium-binding protein 1-like,black
107301822,uncharacterized LOC107301822,pink
107301824,laminin subunit gamma-1-like,pink
107301825,zinc finger protein 774-like,brown
107301826,uncharacterized protein C5orf42 homolog,green
107301827,DNA-directed RNA polymerase II subunit RPB3-like,blue
107301828,zinc finger protein 202-like,yellow
107301829,cohesin subunit SA-2-like,blue
107301830,polyadenylate-binding protein-interacting protein 2-like,blue
107301831,kunitz-type serine protease inhibitor bitisilin-2-like,turquoise
107301833,protein FAM184A-like,magenta
107301835,Golgi apparatus protein 1-like,brown
107301836,phosphatidylinositol-glycan-specific phospholipase D-like,turquoise
107301837,uncharacterized LOC107301837,black
107301838,lysozyme C-1-like,blue
107301839,uncharacterized LOC107301839,turquoise
107301841,adenine phosphoribosyltransferase-like,red
107301842,HLA class II histocompatibility antigen DRB1-16 beta chain-like,royalblue
107301843,proteasome activator complex subunit 2-like,turquoise
107301844,von Willebrand factor C domain containing protein 2-like,greenyellow
107301845,60S ribosomal protein L35a-like,lightgreen
107301846,protein argonaute-1-like,tan
107301847,antigen peptide transporter 2-like,royalblue
107301848,gastrula zinc finger protein XlCGF7.1-like,brown
107301849,WD repeat-containing protein 93-like,green
107301850,uncharacterized LOC107301850,darkgreen
107301851,stomatin-like protein 2 mitochondrial,brown
107301852,C-C motif chemokine 3-like,darkturquoise
107301853,IKAROS family zinc finger 2,green
107301854,malectin-like,brown
107301855,guanine nucleotide-binding protein subunit beta-4-like,black
107301856,angiopoietin-related protein 2-like,black
107301857,mitochondrial import inner membrane translocase subunit TIM50-like,turquoise
107301858,tudor domain-containing protein 1-like,brown
107301859,protein FAM184A-like,pink
107301860,protein FAM179A-like,green
107301861,zinc finger protein 202-like,green
107301863,erb-b2 receptor tyrosine kinase 4,greenyellow
107301864,uncharacterized LOC107301864,turquoise
107301866,uncharacterized LOC107301866,turquoise
107301867,histidine triad nucleotide-binding protein 3-like,tan
107301869,uncharacterized LOC107301869,turquoise
107301870,uncharacterized LOC107301870,turquoise
107301871,zinc finger protein 268-like,blue
107301872,zinc finger protein 24-like,blue
107301873,translation machinery-associated protein 16-like,brown
107301875,carbamoyl-phosphate synthase 1,magenta
107301877,peroxisomal acyl-coenzyme A oxidase 3-like,turquoise
107301878,uncharacterized aarF domain-containing protein kinase 2-like,blue
107301880,regulator of nonsense transcripts 2-like,blue
107301881,gastrula zinc finger protein XlCGF62.1-like,blue
107301882,VWFA and cache domain-containing protein 1-like,yellow
107301884,snake venom metalloproteinase ACLF-like,turquoise
107301885,uncharacterized LOC107301885,tan
107301886,unc-80 homolog NALCN activator,magenta
107301887,arrestin domain-containing protein 4-like,blue
107301888,uncharacterized LOC107301888,pink
107301892,major facilitator superfamily domain-containing protein 1-like,blue
107301893,tetratricopeptide repeat protein 21B-like,pink
107301894,ubiquitin carboxyl-terminal hydrolase 24-like,turquoise
107301896,lung adenoma susceptibility protein 2-like,pink
107301897,microprocessor complex subunit DGCR8-like,brown
107301898,sperm associated antigen 16,pink
107301900,uncharacterized LOC107301900,turquoise
107301901,uncharacterized LOC107301901,brown
107301902,ran-binding protein 17-like,darkred
107301903,zinc finger protein 239-like,turquoise
107301905,lysophosphatidic acid receptor 1,turquoise
107301906,snake venom metalloproteinase ACLF-like,turquoise
107301907,zinc finger protein 470-like,blue
107301909,LanC like 1,blue
107301910,N-acyl-phosphatidylethanolamine-hydrolyzing phospholipase D-like,turquoise
107301912,uncharacterized LOC107301912,turquoise
107301913,uncharacterized LOC107301913,turquoise
107301914,avidin-like,royalblue
107301915,vomeronasal type-2 receptor 26-like,pink
107301916,uncharacterized LOC107301916,turquoise
107301918,uncharacterized LOC107301918,brown
107301919,dual specificity mitogen-activated protein kinase kinase 3,red
107301920,vinculin-like,blue
107301922,probable carboxypeptidase X1,black
107301923,kinesin-like protein KIF13A,blue
107301924,snaclec stejaggregin-A subunit alpha-like,turquoise
107301925,sterol 26-hydroxylase mitochondrial-like,turquoise
107301926,autophagy-related protein 2 homolog A-like,blue
107301927,integrator complex subunit 11,yellow
107301928,acyl-CoA dehydrogenase long chain,turquoise
107301932,uncharacterized LOC107301932,blue
107301933,protein ecdysoneless homolog,lightcyan
107301934,uncharacterized LOC107301934,yellow
107301935,uncharacterized LOC107301935,green
107301936,lon protease homolog 2 peroxisomal-like,turquoise
107301937,uncharacterized LOC107301937,turquoise
107301938,serine/threonine-protein kinase MRCK alpha-like,salmon
107301939,ataxin-3-like,turquoise
107301940,protein wntless homolog,brown
107301941,ribulose-5-phosphate-3-epimerase,brown
107301942,SRSF protein kinase 2-like,darkred
107301943,anaphase-promoting complex subunit 4-like,green
107301944,uncharacterized LOC107301944,yellow
107301945,neurogenic locus notch homolog protein 1-like,turquoise
107301946,anaphase-promoting complex subunit 4-like,turquoise
107301947,normal mucosa of esophagus-specific gene 1 protein-like,cyan
107301948,uncharacterized LOC107301948,blue
107301951,protein unc-45 homolog A-like,steelblue
107301955,zinc metalloproteinase/disintegrin-like,turquoise
107301956,DLA class II histocompatibility antigen DR-1 beta chain-like,green
107301958,mannosyl (alpha-13-)-glycoprotein beta-14-N-acetylglucosaminyltransferase isozyme A,turquoise
107301959,KAT8 regulatory NSL complex subunit 1 like,yellow
107301960,ER membrane protein complex subunit 4,salmon
107301961,WW domain binding protein 1,orange
107301962,zinc finger protein 253-like,blue
107301963,zinc finger protein 160-like,green
107301964,negative elongation factor B-like,yellow
107301965,tumor necrosis factor receptor superfamily member 11B-like,turquoise
107301966,low-density lipoprotein receptor-related protein 6-like,turquoise
107301967,lysosomal protective protein-like,blue
107301968,S-adenosylmethionine synthase isoform type-1-like,tan
107301969,G patch domain-containing protein 4-like,brown
107301970,myosin light chain 1,white
107301971,cell division cycle protein 23 homolog,yellow
107301974,eosinophil peroxidase-like,white
107301975,zinc finger protein 2 homolog,blue
107301976,cysteine-rich secretory protein LCCL domain-containing 1-like,midnightblue
107301978,cystatin-1-like,turquoise
107301979,chromosome unknown open reading frame human C15orf40,greenyellow
107301980,uncharacterized LOC107301980,pink
107301981,uncharacterized LOC107301981,black
107301982,integrator complex subunit 11,yellow
107301985,SWI/SNF related matrix associated actin dependent regulator of chromatin subfamily a-like 1,turquoise
107301986,Bardet-Biedl syndrome 2 protein homolog,midnightblue
107301988,tyrosine-protein kinase receptor UFO-like,blue
107301990,bone morphogenetic protein 1-like,black
107301991,selenocysteine insertion sequence-binding protein 2-like,brown
107301996,peroxisomal trans-2-enoyl-CoA reductase,darkred
107301997,ADP-ribosylation factor-binding protein GGA3-like,turquoise
107302000,TP53 regulated inhibitor of apoptosis 1,turquoise
107302002,leishmanolysin-like peptidase,turquoise
107302003,transcription intermediary factor 1-alpha-like,turquoise
107302004,cadherin-8-like,darkgreen
107302005,uncharacterized LOC107302005,brown
107302006,smoothelin-like,magenta
107302007,excision repair cross-complementation group 3,black
107302008,probable glutathione peroxidase 8-B,darkgreen
107302011,protein YIPF5-like,brown
107302012,prostaglandin E2 receptor EP2 subtype-like,turquoise
107302013,uncharacterized LOC107302013,green
107302014,interferon-inducible GTPase 5-like,darkgreen
107302016,uncharacterized LOC107302016,pink
107302017,SHC-transforming protein 1-like,yellow
107302018,PHD finger protein 13-like,blue
107302019,cytochrome P450 27C1,midnightblue
107302020,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 4-like,purple
107302021,tRNA (guanine-N(7)-)-methyltransferase non-catalytic subunit WDR4-like,brown
107302022,NHS-like protein 2,yellow
107302023,poly [ADP-ribose] polymerase 1-like,black
107302025,COBW domain-containing protein 1-like,black
107302027,bifunctional UDP-N-acetylglucosamine 2-epimerase/N-acetylmannosamine kinase-like,cyan
107302030,tet methylcytosine dioxygenase 2,greenyellow
107302031,ribosomal protein L37a,lightgreen
107302032,melanocyte protein PMEL-like,black
107302033,uncharacterized LOC107302033,pink
107302036,HLA class II histocompatibility antigen DRB1-4 beta chain-like,royalblue
107302037,zinc finger protein 420-like,magenta
107302040,acidic leucine-rich nuclear phosphoprotein 32 family member B-like,turquoise
107302041,uncharacterized LOC107302041,turquoise
107302042,X-ray repair complementing defective repair in Chinese hamster cells 5,blue
107302043,ectonucleoside triphosphate diphosphohydrolase 8-like,lightcyan
107302044,NAD kinase-like,yellow
107302045,kinesin-like protein KIF20A,green
107302047,zinc finger protein 665-like,pink
107302048,PHD finger protein 19-like,magenta
107302049,uncharacterized LOC107302049,pink
107302050,spindle assembly abnormal protein 6 homolog,turquoise
107302051,ubiquitin carboxyl-terminal hydrolase 1-like,blue
107302053,uncharacterized LOC107302053,blue
107302054,mitogen-activated protein kinase kinase kinase 2,brown
107302055,homeobox protein PKNOX1-like,pink
107302056,E3 ubiquitin-protein ligase listerin-like,yellow
107302058,uncharacterized LOC107302058,yellow
107302059,ral guanine nucleotide dissociation stimulator-like,tan
107302060,HLA class II histocompatibility antigen DRB1-4 beta chain-like,royalblue
107302061,kinesin light chain 3-like,brown
107302063,translocase of outer mitochondrial membrane 5,brown
107302064,structural maintenance of chromosomes protein 5-like,darkred
107302065,TFIIH basal transcription factor complex helicase XPB subunit-like,black
107302067,C-type lectin TsL,turquoise
107302068,UPF0235 protein C15orf40 homolog,purple
107302069,alpha-1-antitrypsin-like,brown
107302070,niban-like protein 1,black
107302071,arrestin domain-containing protein 4-like,red
107302072,glycogen phosphorylase muscle form-like,red
107302073,kinesin light chain 2-like,brown
107302074,HLA class II histocompatibility antigen DR beta 5 chain-like,blue
107302075,uncharacterized LOC107302075,blue
107302076,bridging integrator 1,red
107302077,zinc finger protein RFP-like,darkgreen
107302078,E3 ubiquitin-protein ligase RNF19A-like,yellow
107302079,cytoplasmic dynein 2 heavy chain 1-like,green
107302081,zinc finger protein 268-like,yellow
107302082,polypyrimidine tract-binding protein 2-like,blue
107302083,snake venom metalloproteinase BjussuMP-2-like,turquoise
107302084,low molecular weight phosphotyrosine protein phosphatase,brown
107302085,phospholipase A2 inhibitor and Ly6/PLAUR domain-containing protein-like,brown
107302087,unconventional myosin-If-like,darkgrey
107302088,ceramide synthase 2-like,turquoise
107302089,clathrin heavy chain 1-like,blue
107302091,peptide chain release factor 1-like mitochondrial,magenta
107302093,cytochrome c oxidase subunit 7C mitochondrial,lightgreen
107302094,uncharacterized LOC107302094,darkred
107302095,40S ribosomal protein S18,turquoise
107302096,serine/threonine-protein kinase ATR-like,pink
107302097,nesprin-3-like,pink
107302101,zinc finger protein 331-like,pink
107302102,tripartite motif-containing protein 52-like,darkgreen
107302104,transmembrane protein 185A,black
107302107,uncharacterized LOC107302107,yellow
107302108,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 4-like,purple
107302109,uncharacterized LOC107302109,pink
107302111,zinc finger protein 501-like,darkred
107302113,sodium channel modifier 1-like,pink
107302114,AP-4 complex subunit epsilon-1-like,cyan
107302115,uncharacterized LOC107302115,green
107302116,cytoplasmic dynein 1 heavy chain 1-like,turquoise
107302117,transportin-3-like,yellow
107302118,uncharacterized LOC107302118,brown
107302121,transcription factor Dp-1-like,green
107302124,eukaryotic initiation factor 4A-I-like,brown
107302125,HLA class II histocompatibility antigen DRB1-4 beta chain-like,royalblue
107302126,uncharacterized LOC107302126,black
107302127,nuclear factor related to kappa-B-binding protein-like,brown
107302128,mitochondrial folate transporter/carrier-like,grey60
107302129,NAD kinase-like,yellow
107302130,zinc finger protein 502-like,magenta
107302131,phosphomevalonate kinase-like,yellow
107302133,dipeptidyl peptidase 3-like,turquoise
107302134,DNA topoisomerase 3-beta-1-like,brown
107302135,sepiapterin reductase-like,brown
107302136,uncharacterized LOC107302136,turquoise
107302137,KIAA1211-like ortholog,pink
107302138,leucine-rich repeat and transmembrane domain-containing protein 1-like,blue
107302139,interleukin-36 alpha-like,brown
107302142,actin-binding Rho-activating protein-like,red
107302143,ubiA prenyltransferase domain-containing protein 1-like,yellow
107302145,transmembrane protein 169,blue
107302146,beta-13-galactosyltransferase 5-like,red
107302147,zinc finger protein 501-like,blue
107302148,snaclec coagulation factor IX/factor X-binding protein subunit A-like,turquoise
107302149,SHC-transforming protein 1-like,turquoise
107302150,prostaglandin E2 receptor EP3 subtype-like,purple
107302151,HLA class II histocompatibility antigen DRB1-4 beta chain-like,royalblue
107302153,tuftelin-interacting protein 11-like,yellow
107302154,interferon-inducible GTPase 5-like,green
107302155,REST corepressor 1,darkgrey
107302158,gamma-tubulin complex component 6-like,brown
107302162,NADH:ubiquinone oxidoreductase subunit A1,lightgreen
107302163,uncharacterized LOC107302163,yellow
107302164,uncharacterized LOC107302164,turquoise
107302165,zinc finger protein OZF-like,blue
107302166,dual specificity mitogen-activated protein kinase kinase 3-like,red
107302168,neuroblast differentiation-associated protein AHNAK-like,turquoise
107302170,protein ZNF767-like,blue
107302171,uncharacterized LOC107302171,royalblue
107302172,ectonucleoside triphosphate diphosphohydrolase 8-like,blue
107302173,leukocyte surface antigen CD47-like,green
107302174,zinc finger protein 708-like,blue
107302175,chromodomain-helicase-DNA-binding protein 2-like,turquoise
107302177,interferon-inducible GTPase 5-like,darkgreen
107302178,calcium-activated potassium channel subunit alpha-1-like,brown
107302180,endonuclease domain-containing 1 protein-like,green
107302181,zinc finger protein 436-like,pink
107302182,proteasome activator complex subunit 2-like,darkgreen
107302183,interferon-inducible GTPase 5-like,darkgreen
107302184,polyribonucleotide nucleotidyltransferase 1,darkgreen
107302185,homeobox protein MSX-2-like,midnightblue
107302186,leucine zipper down-regulated in cancer 1,darkred
107302187,proteasome activator complex subunit 2-like,salmon
107302188,uncharacterized LOC107302188,tan
107302190,zinc finger and SCAN domain-containing protein 2-like,yellow
107302193,mas-related G-protein coupled receptor member H-like,red
107302195,microtubule-associated protein 4-like,turquoise
107302196,echinoderm microtubule associated protein like 6,green
107302197,protocadherin alpha-5-like,cyan
107302200,HLA class II histocompatibility antigen DRB1-4 beta chain-like,blue
107302202,arf-GAP with coiled-coil ANK repeat and PH domain-containing protein 3-like,brown
107302203,glyoxal reductase-like,green
